R_ID,Name,Elinfo
207,Smokey pocket gopher,toothincisor (sup) 
208,Dog,toothpremolar 4 of mandible 
209,Artiodactyl,ribrib
210,large mammal,Cervical
211,bird,unknownfragment
212,Human,
213,mammal,unknownfragment
214,Human,
215,mammal,unknownfragment
216,Artiodactyl,ribrib
217,Artiodactyl,ribrib
218,Dog,cranialnasal
219,Dog,phalanx*proximal carpal phalanx 2
220,mammal,unknownfragment
221,White-tailed deer,Antler
222,Northern bobwhite,metatarsaltarsometatarsus
223,Guajolote,humerushumerus
224,bird,unknownfragment
225,Jack fish,Vert NDvertebra
226,unknown,unknownfragment
227,Turtle,carapace/plastronplastron?
228,cf. Tlachichi,metatarsalMetatarsal (3)
229,medium mammal,Vert NDepiphysis
230,mammal,unknownfragment
231,Smokey pocket gopher,cranialjugal
232,Slider turtle,carapace/plastroncarapace- costal scute
233,Waterfowl,ulnaulna
234,Waterfowl,radiusradius
235,Fossil shark from cretaceous,toothtooth
236,mammal,shaftlong bone
237,mammal,shaftlong bone
238,mammal,unknownfragment
239,medium-large bird,furculafurcula
240,Dog,ribrib
241,Artiodactyl,ribrib
242,mammal,unknownfragment
243,unidentifiable,unknownfragment
244,mammal,unknownfragment
245,Artiodactyl,scapulascapula
246,mammal,unknownfragment
247,Human,
248,mammal,unknownfragment
249,unknown,unknownfragment
250,Human,
251,White-tailed deer,mandiblemandible
252,Human,
253,mammal,unknownfragment
254,White-tailed deer,patellapatella
255,mammal,unknownfragment
256,Human,
257,Jack fish,Caudalvertebra
258,Human,
259,mammal,unknownfragment
260,mammal,unknownfragment
261,White-tailed deer,Antler
262,mammal,unknownfragment
263,Pigeon,ulnaulna
264,Human,
265,Pigeon,humerushumerus
266,marine fish,Otherurostyle
267,mammal,unknownfragment
268,White-tailed deer,Pelvis AcetabulumPelvis Acetabulumpelvis
269,White-tailed deer,Pelvis NDpelvis
270,Rat/Mouse,Humerus
271,mammal,unknownfragment
272,Snapper,cranialopercular
273,Dog,metacarpalMetacarpal (2)
274,Dog,ribrib
275,White-tailed deer,Antler
276,mammal,unknownfragment
277,White-tailed deer,
278,Hare,Humerus
