Lote,Investigador,Fecha,Criba,Profundidad (cmbd),Volumen (m?),Operaci—n,Unidad,RELATED LOTES FROM HARRIS MATRIX,DATE C14,,Chronology group,,Elemento,Estructura,Cuarto,Relaci—n a otros lotes (estratigraf’a),Descripci—n del sedimento,Interpretaci—n cultural,Flotaci—n
197,AGMR,2 VIII 13,0.5,,0.715,17,H20,Fourth below,,,3,,,,,Debajo de 129 al S del drenaje,Tierra limosa. Munsell 10YR 5/2,Nœcleo de construcci—n con relleno,
198,DHS/BG,2 VIII 13,0.5,,0.06,17,J19s,Earliest layers sobre tepetate,,,1,,,,,Debajo de 193,Tierra compactada. Munsell 10YR 4/3,Primera ocupaci—n sobre el tepetate,
199,MRD,2 VIII 13,0.5,,0.258,17,H19N,Earliest layers sobre tepetate,,,1,,,,,Debajo de 192,Tierra suelta arcillosa. Munsell 10YR 3/2,Deslave,
200,MRD,2 VIII 13,0.5,,0.238,17,H19N,Second capa,,,5,,,,,Debajo de 199,Tierra suelta arcillosa. Munsell 10YR 3/2,Deslave,
201,MRD,2 VIII 13,0.5,,0.262,17,H19N,Third capa below surface,,,4,,,,,Debajo de 200,Tierra suelta arcillosa. Munsell 10YR 3/2,Sobre de Piso 1 y Deslave,
202,MRD,2 VIII 13,0.5,,0.0992,17,H19N,Fourth below,,,3,,,,,Debajo de 201,Tierra compactada y tierra suelta arcillosa. Munsell 10YR 4/2,Base de Piso 1 y relleno,
203,MRD,2 VIII 13,0.5,,0.048,17,H20,Earliest layers sobre tepetate,,,1,,,,,Debajo de 162 al W del muro W,Tierra suelta arcillosa. Munsell 10YR 3/2,Derrumbe y relleno,
204,MRD,2 VIII 13,0.5,,0.1675,17,H19N,Second earliest,,,2,,,,,Debajo do 202,Tierra compactada y tierra laminada 10YR 4/3,Relleno,
205,MRD,2 VIII 13,0.5,,0.0822,17,H20,Earliest layers sobre tepetate,,,1,,,,,Debajo de 203 al W del muro W,Tierra suelta arcillosa. Munsell 10YR 3/2,Derrumbe y relleno,
206,MRD,2 VIII 13,0.5,,0.079,17,H19N,Earliest layers sobre tepetate,,,1,,Elemento 11,,,Debajo de 204,Tierra compactada y tierra suelta con grava. Munsell 10YR 4/3,Entierro humano sobre tepetate,
207,AGMR,3 VIII 13,0.5,,0.005,17,H20,Second earliest,,,2,,Elemento 14,,,Debajo de 197,Tierra limosa. Munsell 10YR 5/2,Dep—sito tipo cache con conchas y nœcleos de obsidiana,X
208,AGMR,5 VIII 13,0.5,,0.03,17,J20,Earliest layers sobre tepetate,,,1,,,,,Debajo de 159,Tierra arcillosa y arena. Munsell 10YR 5/2,Primera ocupaci—n sobre el tepetate,
209,AGMR,5 VIII 13,0.5,,0.21,17,J21,Earliest layers sobre tepetate,,,1,,,,,Debajo de 160,Tierra arcillosa y arena. Munsell 10YR 5/2,Nœcleo de construcci—n con relleno arenoso,
210,MRD,5 VIII 13,0.5,,0.1118,17,H19N,Earliest layers sobre tepetate,,,1,,,,,Debajo de 204,Tierra compactada. Munsell 10YR 4/3,Sobre el Tepetate Circa de El. 11,
211,AGMR,5 VIII 13,0.5,,0.192,17,J22,Earliest layers sobre tepetate,,,1,,,,,"Debajo de 187, interior del cuarto 2",Tierra limosa. Munsell 10YR 5/2,Primera ocupaci—n sobre el tepetate,
212,AGMR,5 VIII 13,0.5,,0.398,17,I22,Earliest layers sobre tepetate,,,1,,,,,"Debajo de 189, interior del cuarto 2",Tierra compacta. Munsell 10YR 5/2,Primera ocupaci—n sobre el tepetate,
213,MRD,5 VIII 13,0.5,,0.0588,17,H20,Earliest layers sobre tepetate,,,1,,,,,"Debajo de 205, W de la pared",Tierra medio compacta con grava. Munsell 10YR 4/2,Primera ocupaci—n sobre el tepetate,
214,AGMR,5 VIII 13,0.5,,0.096,17,H22,Third capa below surface,,,4,,,,,"Debajo de 90, muro mas reciente al N del drenaje separando cuarto 3 del cuarto 2",Tierra limosa y arenosa. Munsell 10YR 5/2,Primera ocupaci—n sobre el tepetate,
215,AGMR,5 VIII 13,0.5,,0.0402,17,H21,Third capa below surface,,,4,,,,,"Debajo de 194, cachito de piso W hasta tepetate lado N del drenaje",Tierra arenosa y limosa. Munsell 10YR 6/2,Primera ocupaci—n sobre el tepetate,
216,AGMR,5 VIII 13,0.5,,0.2115,17,H20,Second earliest,,,2,,,,,"Debajo de 196, norte del drenaje hasta el tepetate",Tierra limosa. Munsell 10YR 5/2,Primera ocupaci—n sobre el tepetate,
217,AGMR,6 VIII 13,0.5,,0.0206,17,H20,Earliest layers sobre tepetate,,,1,,,,,Relleno de drenaje pasando por muro N-S al W,Tierra arenosa y limosa. Munsell 10YR 6/2,Primera ocupaci—n sobre el tepetate,
218,AGMR,6 VIII 13,0.5,,0.003,17,H22,Third capa below surface,,,4,,,,,Relleno de drenaje pasando por muro N-S al E,Tierra limosa y arenosa. Munsell 10YR 5/2,Primera ocupaci—n sobre el tepetate,
219,AGMR,6 VIII 13,0.5,,0.1428,17,G22,Other lowest,,,1,,,,,Piso 1 y su base parte S debajo de 150,Tierra limosa. Munsell 10YR 4/2,Relleno,X
220,AGMR,6 VIII 13,0.5,,0.02235,17,G22,Other lowest,,,1,,,,,"Piso 2 y relleno debajo de 219, esquina SE",Tierra limosa. Munsell 10YR 4/2,Relleno,X
221,AGMR,6 VIII 13,0.5,,0.027,17,G22,Other lowest,,,1,,,,,"Debajo de 220, esquina SE sobre el tepetate",Tierra limosa. Munsell 10YR 4/2,Primera ocupaci—n sobre el tepetate,
1,AGMR,1 VII 13,0.5,,0.82,17,K8,Superficie,,,Phase 6,,,,,Superficie,"Capa húmica, tierra orgánica y raíces. Munsell 10YR 5/1",Superficie,
2,AGMR,1 VII 13,0.5,,1.02,17,K9,Superficie,,,Phase 6,,,,,Superficie,"Capa húmica, tierra orgánica y raíces. Munsell 10YR 5/1",Superficie,
3,AGMR,2 VII 13,0.5,,0.725,17,J8,Superficie,,,Phase 6,,,,,Superficie,"Capa húmica, tierra orgánica y raíces. Munsell 10YR 5/1",Superficie,
4,AGMR,3 VII 13,0.5,,0.86,17,J9,Superficie,,,Phase 6,,,,,Superficie,"Capa húmica, tierra orgánica y raíces. Munsell 10YR 5/1",Superficie,
14,AGMR,3 VII 13,0.5,,0.2,17,K8,1 below surf,,,Phase 5,,,,,Debajo de 1,"Arena mediana, Munsell 7.5 YR 3/2",Superficie y Deslave,
15,AGMR,3 VII 13,0.5,,0.21,17,J8,1 below surf,,,Phase 5,,,,,Debajo de 3,"Arena mediana, Munsell 7.5 YR 3/2",Superficie y Deslave,
16,AGMR,4 VII 13,0.5,,0.985,17,J8,two below,,,Phase 4,,,Muro 1,,Debajo de 15,"Arena fina, arcillosa últimos cm. Munsell 7.5YR 3/2",Deslave,
17,AGMR,4 VII 13,0.5,,0.873,17,J9,1 below surf,,,Phase 5,,,,,Debajo de 4,Encima: Tierra orgánica c/ arena mediana. Munsell 7.5YR 3/2. Abajo: Muy arcillosa.,Deslave,
22,AGMR,5 VII 13,0.5,,0.213,17,J8,two below,,,Phase 4,,,Muro 1,,Debajo de 16,Tierra arcillosa. Munsell 10YR 5/3,Núcleo de construcción,
23,AGMR,5 VII 13,0.5,,1.336,17,K8,two below,,,Phase 4,,,Muro 1,,Debajo de 14,"Arena fina arriba, después Silt fino, acabando con tierra arcillosa. Munsell 10YR 5/3",Núcleo de construcción,
24,AGMR,5 VII 13,0.5,,1.089,17,K9,1 below surf,,,Phase 5,,,Muro 1,,Debajo de 2,Arena mediana hasta limo fino. Munsell 10YR 5/2,Núcleo de construcción,X
34,AGMR,8 VII 13,0.5,,0.128,17,J8,three below,,,Phase 3,,Elemento 2,Muro 1,,1m x 1m debajo 22,Tierra arcillosa. Munsell 10YR 3/1,Derrumbe y deslave con tiestos grandes,X
35,AGMR,9 VII 13,0.5,,0.0725,17,J8,three below,,,Phase 3,,Elemento 2,Muro 1,,Debajo de 34,Tierra arcillosa. Munsell 10YR 3/1,Derrumbe y deslave con tiestos grandes,
36,AGMR,9 VII 13,0.5,,0.134,17,J8,three below,,,Phase 3,,,,,Debajo de 35,Tierra arcillosa. Munsell 10YR 3/1,Derrumbe y deslave con tiestos grandes,
37,AGMR,9 VII 13,0.5,,0.241,17,J8,four below,,,Phase 2,,,,,Debajo de 36,Tierra arcillosa. Munsell 10YR 3/1,Derrumbe y deslave,
38,AGMR,9 VII 13,0.5,,0.17077,17,J8,five below/above tep,,,Phase 1,,,,,Debajo de 37,Tierra arcillosa. Munsell 10YR 3/1,Derrumbe y deslave,
42,AGMR,9 VII 13,0.5,,0.2117,17,J8,three below,,,Phase 3,,,,,"Debajo de 22, igual que 34",Tierra arcillosa. Munsell 10YR 3/1,Derrumbe y deslave,
43,AGMR,10 VII 13,0.5,,0.3821,17,J8,three below,,,Phase 3,,,,,"Debajo de 42, igual que 35 y 36",Tierra arcillosa. Munsell 10YR 3/1,Derrumbe y deslave con tiestos grandes,
44,AGMR,10 VII 13,0.5,,0.477,17,J8,four below,,,Phase 2,,,,,"Debajo de 43, igual a 37",Tierra arcillosa. Munsell 10YR 3/1,Derrumbe y deslave con tiestos grandes,X
45,AGMR,10 VII 13,0.5,,0.2825,17,J8,five below/above tep,,,Phase 1,,,,,"Debajo de 44, igual a 38",Tierra arcillosa. Munsell 10YR 4/2,Primera ocupación sobre el tepetate,X
53,AGMR,11 VII 13,0.5,,0.335,17,K8,three below,,,Phase 3,,,,,Debajo de 23,Arena fina arriba y tierra arcillosa. Munsell 10YR 3/1,Relleno y deslave,
54,AGMR,11 VII 13,0.5,,0.3272,17,K8,three below,,,Phase 3,,,,,"Debajo de 34, igual a elemento 2",Tierra arcillosa. Munsell 10YR 3/1,Derrumbe y deslave,
55,AGMR,12 VII 13,0.5,,0.1227,17,K8,three below,,,Phase 3,,,,,Debajo de 54,Tierra arcillosa. Munsell 10YR 3/1,Derrumbe y deslave,
59,AGMR,12 VII 13,0.5,,0.3562,17,K8,four below,,,Phase 2,,,,,Debajo de 55,Tierra arcillosa. Munsell 10YR 3/1,Derrumbe y deslave,
60,AGMR,12 VII 13,0.5,,0.2793,17,K8,five below/above tep,,,Phase 1,,,,,Debajo de 59,Tierra arcillosa. Munsell 10YR 3/1,Derrumbe y deslave,
65,AGMR,13 VII 13,0.5,,0.402,17,J9,two below,,,Phase 4,,,,,Debajo de 17,"Arena fina, arcillosa últimos cm. Munsell 10YR 4/2",Deslave,X
66,AGMR,13 VII 13,0.5,,0.147,17,K9,1 below surf,,,Phase 5,,,,,Debajo de 24,Arena mediana hasta limo fino. Munsell 10YR 4/2,Deslave,
73,AGMR,16 VII 13,0.5,,1.11,17,K10,Superficie,,,Phase 6,,,,,Superficie,"Capa húmica, tierra orgánica y raíces. Munsell 10YR 4/2",Superficie,
74,AGMR,16 VII 13,0.5,,1.04,17,J10,Superficie,,,Phase 6,,,,,Superficie,"Capa húmica, tierra orgánica y raíces. Munsell 10YR 4/2",Superficie,
82,AGMR,17 VII 13,0.5,,0.8262,17,K10,1 below surf,,,Phase 5,,,,,Debajo de 73,"Arena mediana, Munsell 4/2",Deslave,X
83,AGMR,17 VII 13,0.5,,1.425,17,J10,1 below surf,,,Phase 5,,,,,Debajo de 74,"Arena mediana, Munsell 4/2",Deslave,X
84,AGMR,17 VII 13,0.5,,0.395,17,K9,1 above tep,,,Phase 3,,,,,Debajo de 66,Arena mediana hasta limo fino. Munsell 10YR 4/2,Deslave,X
85,AGMR,17 VII 13,0.5,,0.107,17,J9,1 above tep,,,Phase 3,,,,,Debajo de 65,"Arena fina, arcillosa últimos cm. Munsell 10YR 4/2",Nivel de ocupación para la Av. de los Muertos,
91,AGMR,19 VII 13,0.5,,0.016,17,K9,1 above tep,,,Phase 3,,,,,Con 84,Arena mediana hasta limo fino. Munsell 10YR 4/2,Deslave,
92,AGMR,19 VII 13,0.5,,0.086,17,K9,above tep,,,Phase 4,,,,,Debajo de 84,Arena mediana hasta limo fino. Munsell 10YR 4/2,Deslave,
93,AGMR,20 VII 13,0.5,,0.05,17,J9,above tep,,,Phase 4,,,,,Debajo de 85,Arena mediana hasta limo fino. Munsell 10YR 4/2,"Primera ocupación de Av. de los Muertos, sobre el tepetate.",
94,AGMR,20 VII 13,0.5,,0.205,17,J-K9,above tep,,,Phase 4,,,,,Debajo de 92,Arena mediana hasta limo fino. Munsell 10YR 4/2,"Primera ocupación de Av. de los Muertos, sobre el tepetate.",X
591,DHS,26 VI 14,0.5,0.144,0.144,18,J21,,,,,,,,,Superficie,Colección de Superficie,Colección de Superficie,
344,LH,26 V 14,0.5,3,0.28,18,L23,,,,,,,,,Superficie,Colección de Superficie,Colección de Superficie,
392,LH,30 V 14,no,3,0.52,18,L24,,,,,,,,,Superficie,Colección de Superficie,Colección de Superficie,
343,LH,26 V 14,0.5,4,0.28,18,K23,,,,,,,,,Superficie,Colección de Superficie,Colección de Superficie,
439,DHS,5 VI 14,no,4,0.72,18,N25,,,,,,,,,Superficie,Tierra orgánica arcillosa. Munsell 10YR 2/2,Zona de arado,Plough zone
443,DHS,7 VI 14,no,5,0.52,18,M25,,,,,,,,,Superficie,Tierra orgánica arcillosa. Munsell 10YR 2/2,Zona de arado,Plough zone
387,DHS,29 V 14,no,7,0.72,18,N24,,,,,,,,,Superficie,Tierra orgánica arcillosa. Munsell 10YR 2/2,Zona de arado,Plough zone
390,DHS,30 V 14,no,7,0.68,18,M24,,,,,,,,,Superficie,"Tierra orgánica arcillosa, Munsell 10YR2/2",Zona de arado,Plough zone
345,DHS,26 V 14,no,8,0.24,18,M23,,,,,,,,,Superficie,"Tierra orgánica arcillosa, Munsell 10YR2/2",Zona de arado,Plough zone
525,AH,18 VI 14,No,8,0.52,18,M26,,,,,,,,,Superficie,Tierra orgánica arcillosa. Munsell 10YR 2/2,Zona de arado,Plough zone
560,GMB,21 VI 14,no,8,1.2,18,I20,,,,,,,,,superficie,"tierra orgánica arcillosa, Munsell 10 YR 2/2 very dark brown",superficie,
346,DHS,26 V 14,no,9,0.36,18,N23,,,,,,,,,superficie,"tierra orgánica arcillosa, Munsell 10 YR 2/2 very dark brown",superficie,
454,DHS,9 VI 14,0.5,9,0.68,18,J25,,,,,,,,,superficie,"tierra orgánica arcillosa, Munsell 10 YR 2/2 very dark brown",superficie,
353,LH,26 V 14,0.5,10,0.6,18,L23,,,,,,,,,debajo de 310,"tierra orgánica arcillosa, Munsell 10 YR 2/2, very dark brown",deslave y derrumbe,
388,LH,29 V 14,no,10,0.68,18,J21,,,,,,,,,debajo de 307,Tierra orgánica arcillosa. Munsell 10YR 2/2,Deslave,
563,DHS,23 VI 14,no,10,0.64,18,I23,,,,,,,,,"norte del muro, debajo de 311","tierra orgánica arcillosa, Munsell 10 YR 2/2 very dark brown",deslave y derrumbe,
352,LH,26 V 14,0.5,11,0.12,18,K23,,,,,,,,,Debajo de 304,Tierra orgánica arcillosa. Munsell 10YR 2/2,deslave,
524,AH,18 VI 14,0.5,11,0.32,18,N26,,,,,,,,,"esquina sureste interior del cuarto, debajo de 312","tierra orgánica arcillosa, Munsell 10 YR 2/2 very dark brown",deslave y derrumbe con relleno,
336,LH,23 V 14,no,12,0.56,18,K21,,,,,,,,,Debajo de 305,Tierra orgánica arcillosa. Munsell 10YR 2/2,Deslave,
337,LH,24 V 14,no,12,0.64,18,K22,,,,,,,,,Debajo de 306,Tierra orgánica arcillosa. Munsell 10YR 2/2,Deslave,
394,LH,30 V 14,no,12,0.4,18,K24,,,,,,,,,Debajo de 309,Tierra orgánica arcillosa. Munsell 10YR 2/2,Deslave,X
515,DHS,16 VI 14,no,12,0.64,18,I21,,,,,,,,,Debajo de 308,Tierra orgánica arcillosa. Munsell 10YR 2/2,Deslave,
516,DHS,16 VI 14,no,12,0.16,18,I22,,,,,,,,,Debajo de 316,tierra limosa con raices,Deslave,
312,LH,19 V 14,no,13,0.72,18,L22,,,,,,,,,Debajo de 318,"tierra limosa, Munsell 10YR 3/2",Deslave,
393,LH,30 V 14,no,14,0.44,18,J24,,,,,,,,,Debajo de 314,Tierra limosa. Munsell 10YR 2/3,Deslave,
531,GMB,18 VI 14,0.5,14,0.6,18,K23,,,,,,,,,Debajo de 321,Tierra limosa con algunos adobes,Deslave,
391,LH,30 V 14,no,15,0.52,18,J23,,,,,,,,,"debajo de 315, al norte del muro, encima de piso 2",tierra limosa,derrumbe sobre el nivel de piso 2,
608,DHS,28 VI 14,no,15,0.3,18,K20s,,,,,,,,,"debajo de 313, encima de piso 2",tierra limosa,derrumbe sobre el nivel de piso 2,
311,LH,19 V 14,no,16,0.68,18,L21,,,,,,,,,debajo de 319,tierra arcillosa 10YR 2/2,Derrumbe y deslave,
404,LH,31 V 14,0.5,16,0.56,18,L24,,,,,,15 (parcial),,,Debajo de 323,"tierra limosa sobre piso, Munsell 3/3",Derrumbe y deslave sobre piso de lajas,
365,DHS,27 V 14,0.5,17,0.24,18,M23,,,,,,15,,,Debajo de 328,10 candeleros,depositos de candeleros,
452,DHS,9 VI 14,0.5,17,1.16,18,L25,,,,,,,,,Debajo de 316,Tierra limosa arcillosa 10YR 3/2,Derrumbe y deslave,
607,DHS,28 VI 14,no,17,0.64,18,J20,,,,,,,,,Debajo de 325,Tierra limosa arcillosa 10YR 3/2,Derrumbe y deslave sobre piso de lajas,
309,DHS,19 V 14,no,18,0.48,18,M22,,,,,,,,,Debajo de 324,Tierra limosa arcillosa 10YR 3/3,Derrumbe y deslave,
366,DHS,27 V 14,0.5,18,0.48,18,N23,,,,,,,,,"debajo de 326, encima de piso de lajas",tierra limosa,derrumbe sobre el piso de lajas,
450,DHS,9 VI 14,0.5,18,0.84,18,M25,,,,,,,,,"debajo de 327, encima de piso 3",tierra limosa,derrumbe sobre piso 3,
528,AH,18 VI 14,0.5,19,0.96,18,N26,,,,,,,,,"superficie, encima de 338","tierra orgánica, Munsell 10 YR 2/2 Very Dark Brown",superficie,
310,LH,19 V 14,no,20,0.56,18,L20,,,,,,,,,superficie,"tierra orgánica, Munsell 10 YR 2/2 Very Dark Brown",superficie,
672,GMB,8 VII 14,no,20,1.5,18,N11,,,,,,,,,"debajo de 336, encima de 351","tierra orgánica, Munsell 10 YR 2/2 Very Dark Brown",deslave,
306,DHS,19 V 14,no,21,0.6,18,N22,,,,,,,,,debajo de 337,"tierra orgánica, Munsell 10 YR 2/2 Very Dark Brown",nivel sobre piso 1,
529,AH,18 VI 14,0.5,21,0.84,18,M26,,,,,,,,,Debajo de 325 parejo con 332,Lajas y lajas de pigmento,Concentración de piedras sobre piso de lajas,
448,DHS,7 VI 14,0.5,22,0.72,18,N25,,,,,,,,,debajo de 317,concreto de gravilla,piso 2,
625,AH,1 VII 14,No,22,0.28,18,L11,,,,,,16,,,"debajo de 339, sobre piso 1","tierra orgánica, Munsell 10 YR 2/2 Very Dark Brown",elemento 16 - olla de cerámica sobre piso 1,
453,DHS,9 VI 14,0.5,23,0.78,18,K25,,,,,,,,,superficie,tierra orgánica,superficie,
522,DHS,18 VI 14,0.5,23,0.78,18,I22,,,,,,,,,superficie,tierra orgánica,superficie,
406,DHS,31 V 14,0.5,24,0.48,18,M24,,,,,,,,,Superficie,"tierra organica arcillosa, Munsell 10YR 2/2",zona de arado,Plough zone
521,DHS,16 VI 14,0.5,24,0.4,18,I21,,,,,,,,,Superficie,Tierra orgánica arcillosa. Munsell 10YR 2/2,Zona de arado,Plough zone
545,GMB,19 VI 14,0.5,24,0.12,18,K24,,,,,,,,,"debajo de 338, encima de 356","tierra semi-arcillosa con piedras de derrumbe, Munsell 10 YR 3/2 very dark grayish brown",derrumbe,
564,DHS,23 VI 14,0.5,24,0.285,18,I23,,,,,,,,,debajo de 343,"tierra semi-arcillosa, Munsell 10 YR 3/2 very dark grayish brown",sobre piso 1,
369,LH,27 V 14,0.5,25,0.76,18,L23,,,,,,,,,debajo de 344,tierra orgánica,deslave,
399,LH,3 VI 14,0.5,25,0.32,18,J24,,,,,,,,,"al oeste del muro, debajo de 342","tierra arcillosa-arenosa, Munsell 10 YR 3/3",derrumbe,
400,DHS,30 V 14,0.5,25,0.56,18,N24,,,,,,,,,"al oeste del muro, debajo de 354","tierra arcillosa-arenosa, Munsell 10 YR 3/3",derrumbe,
489,DHS,12 VI 14,0.5,25,0.01,18,J24,,,,,,,,,debajo de 351,"tierra arcillosa-arenosa, Munsell 10 YR 3/3",derrumbe,
307,DHS,19 V 14,no,26,0.4,18,M20,,,,,,,,,"al sur del muro, debajo de 311, encima de 363","tierra arcillosa, Munsell 10 YR 3/2",derrumbe,
308,DHS,19 V 14,no,26,0.52,18,M21,,,,,,,,,"en la esquina de los muros, debajo de 341","tierra arcillosa, Munsell 10 YR 3/2",derrumbe,
338,LH,24 V 14,0.5,26,0.4,18,K21,,,,,,17,,,"debajo de 356 (en K21), 357 (en L21), 358 (en L22), 355 (en K22)",tierra arcillosa-arenosa,"elemento 17 - máscara, cerámicas semi-completas",
401,LH,30 V 14,0.5,26,0.48,18,K24,,,,,,,,,"al sur del muro, debajo de 313?","tierra arcillosa, Munsell 10 YR 3/2","al sur del muro, derrumbe/deslave",
389,LH,30 V 14,no,27,0.6,18,J22,,,,,,,,,Debajo de 345,"tierra semiarcillosa, Munsell 10YR 3/2",deslave,
411,LH,2 VI 14,0.5,27,0.52,18,J22,,,,,,,,,Debajo de 346,"tierra semi-arcillosa, Munsell 10 YR 3/2 very dark grayish brown",deslave,
414,LH,2 VI 14,0.5,27,0.66,18,J21,,,,,,18,,,debajo de 364,"tierra limosa, Munsell 10 YR 3/3",elemento 18 - small bowls in the corner of walls,
618,AH,30 VI 14,No,27,0.96,18,K11,,,,,,17,,,debajo de 363,tierra arcillosa-arenosa,elemento 17,X
339,LH,25 V 14,0.5,28,0.2,18,K22,,,,,,,,,debajo de 535 al N del muro,tierra arcillosa,norte del muro,
408,LH,2 VI 14,0.5,28,0.2,18,J23,,,,,,,,,Debajo de 365,"tierra arcillosa con piedras, Munsell 10YR 3/3",deslave y derrumbe,
370,DHS,28 V 14,0.5,29,0.64,18,M23,,,,,,,,,Debajo de 366,tierra arcillosa con algunas  piedras,deslave y derrumbe,
610,DHS,28 VI 14,0.5,29,0.73,18,J20,,,,,,,,,"debajo de 334 al N del muro, encima de lajas",tierra limosa,al norte del muro - derrumbre encima del piso de lajas,
631,AH,2 VII 14,0.5,29,1.15,18,L11,,,,,,,,,"Debajo de y al mismo nivel que 329, encima de piso de lajas","tierra limosa sobre piso, Munsell 3/3",deslave encima de lajas,
371,DHS,28 V 14,0.5,30,0.48,18,N23,,,,,,,,,Debajo de 332 en hoyo sobre piso de lajas,"Tierra arcillosa ariba, Munsell 10YR 3/2 y Tierra limosa compactada abajo, Munsell 10YR 3/3",Pozo de saqueo,
410,LH/DHS,2 VI 14,0.5,30,0.16,18,L24,,,,,,,,,Debajo de 371,"tierra arcillosa, Munsell 10YR 3/3",Derrumbe y deslave,
466,DHS,11 VI 14,0.5,30,0.36,18,K25,,,,,,19,,,Debajo de 374 dentro de hoyo de saqueo,Tierra limosa compactada. Munsell 10YR 3/3,Pozo de saqueo,X
562,GMB,23 VI 14,0.5,30,0.48,18,I20,,,,,,,,,Debajo de 375,tierra arcillosa limosa 10YR 3/3,deslave,
611,DHS,28 VI 14,0.5,30,0.38,18,K20s,,,,,,20,,,Debajo de 381,tierra arcillosa limosa 10YR 3/3,deslave sobre piso,
317,LH,20 V 14,0.5,31,0.3328,18,L22,,,,,,19,,,Debajo de 380,Tierra limosa compactada con carbón y fragmentos de hueso quemado. Munsell 10YR 5/2,"Pozo de saque, contexto para fechar",X
304,DHS,19 V 14,no,32,0.84,18,N20,,,,,,20,,,Debajo de 382 en piso 4,"tierra limosa con arena fina, Munsell 10YR 4/3",Vasija completa y vasija semicompleta con navajas de obsidiana,X
626,AH,1 VII 14,No,32,1,18,L10,,,,,,,,,Debajo de 373,"tierra arcillosa, Munsell 10YR 3/3",relleno bajo nivel de piso,
315,LH,20 V 14,0.5,33,0.324,18,L21,,,,,,,,,Debajo de 328 y 330  al NW (a lado de 385),tierra arcillosa 10YR 3/3,relleno bajo nivel de piso,
342,LH,25 V 14,0.5,33,0.001,18,K22,,,,,,,,,superficie,"tierra orgánica, Munsell 10 YR 3/3",zona de arado,Plough zone
354,LH,27 V 14,0.5,33,0.069,18,K22,,,,,,,,,Superficie,,,
455,DHS,9 VI 14,0.5,33,0.09,18,K25,,,,,,,,,superficie,"tierra orgánica, Munsell 10 YR 3/3",superficie,
457,DMC,9 VI 14,0.5,33,1.02,18,J23,,,,,,,,,Superficie,"tierra organica arcillosa, Munsell 10YR 2/2",zona de arado,Plough zone
462,DHS,10 VI 14,0.5,33,0.7,18,J24,,,,,,,,,superficie,"tierra orgánica, Munsell 10 YR 3/3",superficie,
313,LH,19 V 14,0.5,34,0.44,18,L20,,,,,,,,,superficie,tierra orgánica,superficie,
320,DHS,21 V 14,0.5,34,0.84,18,M22,,,,,,,,,superficie,tierra orgánica,superficie,
456,DHS,9 VI 14,0.5,34,1.04,18,J25,,,,,,,,,superficie,tierra orgánica,superficie,
461,DHS,10 VI 14,0.5,34,0.285,18,L24,,,,,,,,,debajo de 393,tierra arcillosa,deslave,
548,GMB,19 VI 14,0.5,34,0.03,18,L24,,,,,,,,,Debajo de 387,tierra arcillosa con piedras lado W y arcillosa compactada al E,deslave y derrumbe lado W y relleno lado E,
358,LH,27 V 14,0.5,35,0.03432,18,L22,,,,,,,,,debajo de 394,tierra arcillosa,deslave,
627,AH,1 VII 14,No,35,0.84,18,K10,,,,,,,,,Debajo de 400 al W del muro,"tierra arcillosa limosa, Munsell 10YR 2/2",deslave y derrumbe,
319,DHS,21 V 14,0.5,36,0.75,18,N22,,,,,,,,,Debajo de 400 al E del muro,"tierra arcillosa compactada, Munsell 10YR 2/2",relleno,
321,DHS,21 V 14,0.5,36,0.84,18,M21,,,,,,,,,debajo de 392,tierra arcillosa,derrumbe,
351,LH,26 V 14,0.5,36,0.56,18,K21,,,,,,,,,"Debajo de 402 al W del muro, encima de Piso 4","tierra arcillosa con piedras, Munsell 10YR 2/2",derrumbe y deslave,
409,DHS,2 V1 14,0/5,36,0.12,18,M24,,,,,,,,,Debajo de 390,"tierra arcillosa, Munsell 10YR 2/2",deslave,
566,DHS,23 VI 14,0.5,36,0.333,18,I23,,,,,,,,,Debajo de 403 al E del muro,"tierra arcillosa compactada, Munsell 10YR 2/2",relleno,
649,AH,4 VII 14,no,36,0.48,18,M11,,,,,,,,,debajo de 391,tierra orgánica 10 YR 3/3,deslave,
305,DHS,19 V 14,no,37,0.88,18,N21,,,,,,,,,"Debajo de 406, encima del Piso 2","tierra arcillosa, Munsell 10YR 2/2",derumbe y deslave,
465,DHS,10 VI 14,0.5,37,0.154,18,K24,,,,,,,,,"debajo de 404, encima de piso 2",tierra arcillosa con tierra compactada (Munsell 10 YR 2/2),derrumbe y deslave,
314,DHS,19 V 14,0.5,38,0.64,18,M20,,,,,,,,,debajo de 389,tierra arcillosa,deslave,
464,DHS,10 VI 14,0.5,39,0.56,18,M25,,,,,,21,,,"Debajo de 370, 409, 369 y 404, dentro de Piso 2","tierra arcillosa, Munsell 10YR 3/2",Pozo de saqueo,
424,LH,3 VI 14,0.5,40,0.59,18,J22,,,,,,21,,,Debajo de 412 dentro de Piso 2,"tierra arcillosa, Munsell 10YR 3/2",Pozo de saqueo,
458,DHS,10 VI 14,0.5,40,0.6,18,,,,,,,,,,debajo de 387,tierra arcillosa,deslave,
463,DHS,10 VI 14,0.5,40,0.48,18,N25,,,,,,17,,,"debajo de 414, al norte del muro, incluye parte de J22",tierra arcillosa,elemento 17,
530,DHS,18 VI 14,0.5,40,0.102,18,I21,,,,,,22,,,debajo de 419,tierra arcillosa,elemento 22 - hueco en el piso de lajas al norte del muro,
