"","Operacion","Unidad","AmphibianFrog","BirdAmericanCoot","BirdBird","BirdBlackneckedgrebe","BirdcfFulicaamericana","BirdcfGuajolote","BirdcfHawk","BirdcfLongtailedwoodpatridge","Birdcfraptor","BirdcfSwallow","BirdCharadriidae","Birdchicken","BirdCooper’sHawk","Birdextralargebird","BirdGallinule","BirdGrebe","BirdGuajolote","BirdHawk","Birdlargebird","Birdmediumlargebird","BirdNorthernbobwhite","BirdPasserine","BirdPhasinidae","BirdPigeon","BirdQuail","BirdRallidae","BirdRaven","Birdsmallmedbird","Birdsmallbird","BirdWaterfowl","FishcfMarineFish","FishcfNeedlefish","FishJackfish","FishMarinefish","FishNDfish","FishPerciformes","FishSnapper","MammalArtiodactyl","MammalBrocketdeer","MammalCattle","MammalCervid","MammalcfBrocketDeer","MammalcfMexicancottontail","MammalcfMexicangroundsquirrel","MammalcfPeccary","MammalcfWhitetailedDeer","MammalCoati","MammalCottontail","MammalDeermouse","MammalDesertcottontail","MammalDog","MammalDoglg","MammalDogsm","MammalDomesticpig","MammalEasterncottontail","MammalHare","MammalHuman","MammalHuman","MammalLagomorphorRodent","Mammallargemammal","MammalLoberro","Mammalmammal","Mammalmediumlargemammal","Mammalmediummammal","MammalMexicancottontail","MammalMexicangroundsquirrel","MammalPeccari","MammalRabbithare","MammalRatMouse","MammalRedbelliedsquirrel","MammalSheepgoat","Mammalsmallmedmammal","Mammalsmallmammal","Mammalsmallrodent","MammalSmokeypocketgopher","MammalSouthernpocketgopher","MammalSquirrel","MammalTeporingo","MammalTlachichi","MammalTlacuache","MammalTuza","MammalWhitetaileddeer","ReptileMudturtle","ReptileSliderturtle","ReptileTurtle","ShellBivalve","ShellGastropod","ShellShell","UnknownBirdorMammal","UnknowncfTurtle","UnknownNID","TotalRow"
"11","18","J24",0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,7,0,0,1,0,39,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,1,3,0,0,0,0,0,0,0,81
"12","18","J25",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,14
"13","18","K10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
"14","18","K11",0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,10,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44
"15","18","K20",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"16","18","K21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,6,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,19
"17","18","K22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"18","18","K23",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,34
"19","18","K24",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,1,0,25,15,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,1,71
"20","18","K25",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
"21","18","K9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,11
