Lote,Investigador,Fecha,Criba,Profundidad (cmbd),Volumen (m?),Operación,Unidad,RELATED LOTES FROM HARRIS MATRIX,DATE C14,,Chronology group,,Elemento,Estructura,Cuarto,Relación a otros lotes (estratigrafía),Descripción del sedimento,Interpretación cultural,Flotación
205,MRD,2 VIII 13,0.5,,0.0822,17,H20,Earliest layers sobre tepetate,,,1,,,,,Debajo de 203 al W del muro W,Tierra suelta arcillosa. Munsell 10YR 3/2,Derrumbe y relleno,
206,MRD,2 VIII 13,0.5,,0.079,17,H19N,Earliest layers sobre tepetate,,,1,,Elemento 11,,,Debajo de 204,Tierra compactada y tierra suelta con grava. Munsell 10YR 4/3,Entierro humano sobre tepetate,
207,AGMR,3 VIII 13,0.5,,0.005,17,H20,Second earliest,,,2,,Elemento 14,,,Debajo de 197,Tierra limosa. Munsell 10YR 5/2,Depósito tipo cache con conchas y núcleos de obsidiana,X
208,AGMR,5 VIII 13,0.5,,0.03,17,J20,Earliest layers sobre tepetate,,,1,,,,,Debajo de 159,Tierra arcillosa y arena. Munsell 10YR 5/2,Primera ocupación sobre el tepetate,
209,AGMR,5 VIII 13,0.5,,0.21,17,J21,Earliest layers sobre tepetate,,,1,,,,,Debajo de 160,Tierra arcillosa y arena. Munsell 10YR 5/2,Núcleo de construcción con relleno arenoso,
210,MRD,5 VIII 13,0.5,,0.1118,17,H19N,Earliest layers sobre tepetate,,,1,,,,,Debajo de 204,Tierra compactada. Munsell 10YR 4/3,Sobre el Tepetate Circa de El. 11,
211,AGMR,5 VIII 13,0.5,,0.192,17,J22,Earliest layers sobre tepetate,,,1,,,,,"Debajo de 187, interior del cuarto 2",Tierra limosa. Munsell 10YR 5/2,Primera ocupación sobre el tepetate,
212,AGMR,5 VIII 13,0.5,,0.398,17,I22,Earliest layers sobre tepetate,,,1,,,,,"Debajo de 189, interior del cuarto 2",Tierra compacta. Munsell 10YR 5/2,Primera ocupación sobre el tepetate,
213,MRD,5 VIII 13,0.5,,0.0588,17,H20,Earliest layers sobre tepetate,,,1,,,,,"Debajo de 205, W de la pared",Tierra medio compacta con grava. Munsell 10YR 4/2,Primera ocupación sobre el tepetate,
214,AGMR,5 VIII 13,0.5,,0.096,17,H22,Third capa below surface,,,4,,,,,"Debajo de 90, muro mas reciente al N del drenaje separando cuarto 3 del cuarto 2",Tierra limosa y arenosa. Munsell 10YR 5/2,Primera ocupación sobre el tepetate,
215,AGMR,5 VIII 13,0.5,,0.0402,17,H21,Third capa below surface,,,4,,,,,"Debajo de 194, cachito de piso W hasta tepetate lado N del drenaje",Tierra arenosa y limosa. Munsell 10YR 6/2,Primera ocupación sobre el tepetate,
216,AGMR,5 VIII 13,0.5,,0.2115,17,H20,Second earliest,,,2,,,,,"Debajo de 196, norte del drenaje hasta el tepetate",Tierra limosa. Munsell 10YR 5/2,Primera ocupación sobre el tepetate,
217,AGMR,6 VIII 13,0.5,,0.0206,17,H20,Earliest layers sobre tepetate,,,1,,,,,Relleno de drenaje pasando por muro N-S al W,Tierra arenosa y limosa. Munsell 10YR 6/2,Primera ocupación sobre el tepetate,
218,AGMR,6 VIII 13,0.5,,0.003,17,H22,Third capa below surface,,,4,,,,,Relleno de drenaje pasando por muro N-S al E,Tierra limosa y arenosa. Munsell 10YR 5/2,Primera ocupación sobre el tepetate,
219,AGMR,6 VIII 13,0.5,,0.1428,17,G22,Other lowest,,,1,,,,,Piso 1 y su base parte S debajo de 150,Tierra limosa. Munsell 10YR 4/2,Relleno,X
220,AGMR,6 VIII 13,0.5,,0.02235,17,G22,Other lowest,,,1,,,,,"Piso 2 y relleno debajo de 219, esquina SE",Tierra limosa. Munsell 10YR 4/2,Relleno,X
221,AGMR,6 VIII 13,0.5,,0.027,17,G22,Other lowest,,,1,,,,,"Debajo de 220, esquina SE sobre el tepetate",Tierra limosa. Munsell 10YR 4/2,Primera ocupación sobre el tepetate,

