"","ID","YEAR","Volume","Lote","Operacion","Unidad","EL.","Investigator","Fecha","Class","Category","Genus","Species","Name","CF","R_El","R_info","Side","Completeness..0.frag..1.complete.","R_portion","Fragmentation","NISP","MNE","Estimate.AGE","Fusion.wear","Proximal","Shaft","Distal","Taphonomy","Photographed","Bird.to.confirm.ID","Additional.analysis","Quality.of.heat.fire.exposure","X..Charred","X..Heat.exposed","Carnivore","Rodent","Worked","Butchery","Weathering","Other","Calcined","Measurements","Location.of.measurement","Portion","Comments","R_El.R_info.Portion.Comments","New_El"
"18",18,"2016",0.2825,"45","17","J8","","AGMR","11_III_13","Mammal","General","","","mammal","#N/A","unknown","","","0","",NA,1,NA,NA,"",NA,NA,NA,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","","","","unknown///","ND frags"
"19",19,"2016",0.568,"76","17","I17","","MRD","17_VII_13","Mammal","Artiodactyla","Odocoileus","virginianus","White-tailed deer","#N/A","Cervical","","","0.8","",NA,1,NA,NA,"fused",NA,NA,NA,"cutmarks","","","",NA,NA,NA,NA,NA,NA,1,NA,"",NA,"","","","Multiple cutmarks (same direction but non parallel on the right caudal articulation","Cervical///Multiple cutmarks (same direction but non parallel on the right caudal articulation","Cervical"
"20",20,"2016",0.568,"76","17","I17","","MRD","17_VII_13","Mammal","Artiodactyla","Odocoileus","virginianus","White-tailed deer","#N/A","Lumbar","","","0.6","",NA,1,NA,NA,"",NA,NA,NA,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","","body","","Lumbar//body/","Lumbar"
"21",21,"2016",0.568,"76","17","I17","","MRD","17_VII_13","Mammal","Carnivora","Canis","familiaris ","Dog","#N/A","austragalus","","R","1","",NA,1,NA,NA,"",NA,NA,NA,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","","","","austragalus///","Astragalus"
"22",22,"2016",0.568,"76","17","I17","","MRD","17_VII_13","Mammal","Carnivora","Canis","familiaris ","Dog","#N/A","metatarsal","V","L","1","7- whole and unbroken",NA,1,NA,NA,"fused",NA,NA,NA,"Carnivore chew","","","Possibly boiled, slightly shiney but not too smooth (could be unsmooth due to chewing); length:45.4, prox (wxh)7.72x7.79; Distal (wxh)5.61x6.02. Also meant to be shorter than mt2, but not sure if this is small enough to be tlachichi. Not quite as robust as the other possible tlachichi mt 3, but shorter and slightly momre robust than the small dog example in lab. Likely small dog because it is quite narrow. ",NA,NA,NA,1,NA,NA,NA,NA,"",NA,"","","","Small dog","metatarsal/V//Small dog","Metatarsal"
"23",23,"2016",0.568,"76","17","I17","","MRD","17_VII_13","Mammal","Carnivora","Canis","familiaris ","Dog","#N/A","Ph1","V","L","1","7- whole and unbroken",NA,1,NA,NA,"",NA,NA,NA,"","","","Length; Prox (wxh); Distal (wxh)",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","","","","Ph1/V//","Phalanx1"
"24",24,"2016",0.568,"76","17","I17","","MRD","17_VII_13","Mammal","Carnivora","Canis","familiaris ","Dog","#N/A","rib","1?","R","0.3","4-Distal and shaft",NA,1,NA,NA,"",NA,NA,NA,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","","costal","Most likely of rib","rib/1?/costal/Most likely of rib","Ribs"
"25",25,"2016",0.568,"76","17","I17","","MRD","17_VII_13","Reptile","Testudine","Trachemys","sp.","Slider turtle","#N/A","carapace","Costal scute","","0","",NA,1,NA,NA,"",NA,NA,NA,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","","","","carapace/Costal scute//","Carapace"
"26",26,"2016",0.568,"76","17","I17","","MRD","17_VII_13","Mammal","Leporidae","Sylvilagus","floridanus","Eastern cottontail","#N/A","Mand/Tth","","R","0.3","Anterior",NA,1,NA,NA,"",NA,NA,NA,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","","anterior","Sockets for P3,4, M1,2 and M1 and inscisor in place, different individual from L mandible in this lote; of a size with floridanus","Mand/Tth//anterior/Sockets for P3,4, M1,2 and M1 and inscisor in place, different individual from L mandible in this lote; of a size with floridanus","Humerus"
"27",27,"2016",0.568,"76","17","I17","","MRD","17_VII_13","Mammal","Leporidae","Sylvilagus","sp.","Cottontail","#N/A","mandible","","L","0.2","Anterior",NA,1,NA,NA,"",NA,NA,NA,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","","anterior","ragment includes partial socket for P3. Different individual from R mandible in this lote, of a size with floridanus","mandible//anterior/ragment includes partial socket for P3. Different individual from R mandible in this lote, of a size with floridanus","Mandible"
"28",28,"2016",0.568,"76","17","I17","","MRD","17_VII_13","Mammal","Leporidae","Sylvilagus","sp.","Cottontail","#N/A","Tth ND","","","0","8- pieces grouped together ",NA,7,NA,NA,"",NA,NA,NA,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","","fragments","","Tth ND//fragments/","Tth ND"
"29",29,"2016",0.568,"76","17","I17","","MRD","17_VII_13","Mammal","Leporidae","Sylvilagus","sp.","Cottontail","#N/A","Ph1","posterior, II or III","","1","7- whole and unbroken",NA,1,NA,NA,"",NA,NA,NA,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","","","form is straight fo likely #2 or 3","Ph1/posterior, II or III//form is straight fo likely #2 or 3","Phalanx1"
"30",30,"2016",0.568,"76","17","I17","","MRD","17_VII_13","Mammal","Leporidae","Leporidae","","Rabbit/hare","#N/A","Pelvis Acetabulum","Ilium","R","1","",NA,1,NA,NA,"No",NA,NA,NA,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","","illium","complete juvenile illium","Pelvis Acetabulum/Ilium/illium/complete juvenile illium","Pelvis Acetabulum"
"31",31,"2016",0.568,"76","17","I17","","MRD","17_VII_13","Mammal","Leporidae","Lepus","sp.","Hare","#N/A","Atlas","","","1","",NA,1,NA,NA,"",NA,NA,NA,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","","","","Atlas///","Atlas"
"32",32,"2016",0.568,"76","17","I17","","MRD","17_VII_13","Mammal","General","small","","small mammal","#N/A","Thoracic","","","0.7","",NA,1,NA,NA,"No",NA,NA,NA,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","","body","probaby sylv.","Thoracic//body/probaby sylv.","Thoracic"
"33",33,"2016",0.568,"76","17","I17","","MRD","17_VII_13","Mammal","Rodentia","Cratogeomys","fumosus thylorhinus","Smokey pocket gopher","#N/A","tibia","","L","0","1-Proximal epiphysis",NA,1,NA,NA,"No",NA,NA,NA,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","","proximal epiphysis","whole","tibia//proximal epiphysis/whole","Tibia"
"34",34,"2016",0.568,"76","17","I17","","MRD","17_VII_13","Mammal","General","small","","small mammal","#N/A","Vert ND","","","0","",NA,1,NA,NA,"",NA,NA,NA,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","","epiphysis","","Vert ND//epiphysis/","Vert ND"
"35",35,"2016",0.568,"76","17","I17","","MRD","17_VII_13","Bird","General","","","Bird","#N/A","unknown","","","0","8- pieces grouped together ",NA,3,NA,NA,"",NA,NA,NA,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","","","CHECK","unknown///CHECK","ND frags"
"36",36,"2016",0.568,"76","17","I17","","MRD","17_VII_13","Bird","General","","","Bird","#N/A","sternum","","L","0","",NA,1,NA,NA,"",NA,NA,NA,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","","Costal facets","","sternum//Costal facets/","Sternum"
"37",37,"2016",0.568,"76","17","I17","","MRD","17_VII_13","Mammal","Artiodactyla","Artiodactyla","","Artiodactyl","#N/A","tibia","","R","0.1","1-Proximal epiphysis",NA,1,NA,NA,"No",NA,NA,NA,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","","Proximal, medial condyle","No epiphysis","tibia//Proximal, medial condyle/No epiphysis","Tibia"
"38",38,"2016",0.568,"76","17","I17","","MRD","17_VII_13","Mammal","General","","","mammal","#N/A","unknown","","","0","8- pieces grouped together ",NA,47,NA,NA,"",NA,NA,NA,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","","","","unknown///","ND frags"
"39",39,"2016",0.568,"76","17","I17","","MRD","17_VII_13","Mammal","Human","","","Human","#N/A","","","","0","8- pieces grouped together ",NA,30,NA,NA,"",NA,NA,NA,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","","","Many large chunks from various body parts. NISP is min","///Many large chunks from various body parts. NISP is min",NA
"40",40,"2016",0.568,"76","17","I17","","MRD","17_VII_13","Mammal","General","medium-large","","medium-large mammal","#N/A","radius","","R","0","5-Shaft only",NA,1,NA,NA,"",NA,NA,NA,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","","shaft","possibly distal shaft of dog radius but a little more round that the examples in the lab.","radius//shaft/possibly distal shaft of dog radius but a little more round that the examples in the lab.","Radius"
"41",41,"2016",0.568,"76","17","I17","","MRD","17_VII_13","Mammal","General","","","mammal","#N/A","shaft","Worked bone","","0","8- pieces grouped together ",NA,5,NA,NA,"",NA,NA,NA,"worked bone","","","",NA,NA,NA,NA,NA,5,NA,NA,"",NA,"","","","five distinct fragments of worked bone, one possible awl fragment (blunt), other four have abrasion or grooves but no diagnostic portions. ","shaft/Worked bone//five distinct fragments of worked bone, one possible awl fragment (blunt), other four have abrasion or grooves but no diagnostic portions. ","Shaft frags"
"42",42,"2016",0.568,"76","17","I17","","MRD","17_VII_13","Mammal","General","","","mammal","#N/A","unknown","","","0","8- pieces grouped together ",NA,2,NA,NA,"",NA,NA,NA,"One charred one heat exposed","","","",NA,1,1,NA,NA,NA,NA,NA,"",NA,"","","","","unknown///","ND frags"
"43",43,"2016",0.568,"76","17","I17","","MRD","17_VII_13","Fish","Fish","","","ND fish","#N/A","Cervical","5","","0.9","",NA,1,NA,NA,"",NA,NA,NA,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","","","Possibly flat fish","Cervical/5//Possibly flat fish","Cervical"
"44",44,"2016",0.144,"96","17","I16","","MRD","22_VII_13","Mammal","Rodentia","Cratogeomys","fumosus thylorhinus","Smokey pocket gopher","#N/A","Mand/Tth","","L","0.9","6- whole lenght/size but still broken",NA,1,NA,NA,"",NA,NA,NA,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","","","smaller than examples of papogeomys and thomomys in lab; p4 and m1 present, partial inscisor present, M2 loose ","Mand/Tth///smaller than examples of papogeomys and thomomys in lab; p4 and m1 present, partial inscisor present, M2 loose ","Humerus"
"45",45,"2016",0.144,"96","17","I16","","MRD","22_VII_13","Mammal","Human","","","Human","#N/A","","","","0","8- pieces grouped together ",NA,2,NA,NA,"",NA,NA,NA,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","","","","///",NA
"46",46,"2016",0.144,"96","17","I16","","MRD","22_VII_13","Mammal","Leporidae","Sylvilagus","sp.","Cottontail","#N/A","Mand/Tth","","R","0.2","Anterior",NA,1,NA,NA,"",NA,NA,NA,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","","anterior","patial inscisor and p3 and 4 loose.","Mand/Tth//anterior/patial inscisor and p3 and 4 loose.","Humerus"
"47",47,"2016",0.144,"96","17","I16","","MRD","22_VII_13","Mammal","Leporidae","Sylvilagus","floridanus","Eastern cottontail","#N/A","ulna","","L","1","5-Shaft only",NA,1,NA,NA,"N (both)",NA,NA,NA,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","","","complete juv. Missing epiphyses","ulna///complete juv. Missing epiphyses","Ulna"
"48",48,"2016",0.144,"96","17","I16","","MRD","22_VII_13","Mammal","Leporidae","Sylvilagus","sp.","Cottontail","#N/A","Pelvis Acetabulum","","L","0.9","",NA,1,NA,NA,"Y",NA,NA,NA,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","","","","Pelvis Acetabulum///","Pelvis Acetabulum"
"49",49,"2016",0.144,"96","17","I16","","MRD","22_VII_13","Mammal","Carnivora","Canis","familiaris ","Dog","#N/A","metacarpal","IV","R","0.4","3-Proximal and shaft",NA,1,NA,NA,"Y",NA,NA,NA,"heat exposed/charred","","","7.51x6.32, not same animal as other Metacarpal 4 R",NA,1,1,NA,NA,NA,NA,NA,"",NA,"","","proximal","","metacarpal/IV/proximal/","Metacarpal"
"50",50,"2016",0.144,"96","17","I16","","MRD","22_VII_13","Bird","General","","","Bird","#N/A","unknown","","","0","",NA,1,NA,NA,"",NA,NA,NA,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","","","","unknown///","ND frags"
"51",51,"2016",0.41,"86","17","J7","","MRD","19_VII_13","Mammal","Carnivora","Canis","familiaris ","Dog","#N/A","Tth Low","P2","L","0.4","",NA,1,NA,NA,"",NA,NA,NA,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","","Anterior half, 1/2 principal cusp + root","","Tth Low/P2/Anterior half, 1/2 principal cusp + root/","Tth Low"
"52",52,"2016",0.41,"86","17","J7","","MRD","19_VII_13","Mammal","Carnivora","Canis","familiaris ","Dog","#N/A","Tth Low","P4","L","0.6","",NA,1,NA,NA,"",NA,NA,NA,"","","","Altura (min):7.09, ancho: 5.91; a little wide, but most likely familiaris",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","","posterior half, 1/2 principal cusp and caudal cusp and root","","Tth Low/P4/posterior half, 1/2 principal cusp and caudal cusp and root/","Tth Low"
"53",53,"2016",0.41,"86","17","J7","","MRD","19_VII_13","Mammal","Carnivora","Canis","sp.","Canid","#N/A","Tth Low","M3?","","1","",NA,1,NA,NA,"",NA,NA,NA,"","200-2","","Altura: 4.1, ancho:3.92, ant-post:5.88",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","","","Odd tooth, looks like M3 of Canis latrans, but only example in book, none of the canid sp. examined exhibit this type of cusp. Nor any other animal we could find photos of. Having one root, and being this size and shape, the most logical is a malformed M3 of a Canis sp. ","Tth Low/M3?//Odd tooth, looks like M3 of Canis latrans, but only example in book, none of the canid sp. examined exhibit this type of cusp. Nor any other animal we could find photos of. Having one root, and being this size and shape, the most logical is a malformed M3 of a Canis sp. ","Tth Low"
