ID,YEAR,Volume,Lote,Operacion,Unidad,EL.,Investigator,Fecha,Class,Category,Genus,Species,Name,CF,R_El,R_info,Side,"Completeness (0=frag, 1=complete)",R_portion,Fragmentation,NISP,MNE,Estimate AGE,Fusion/wear,Proximal,Shaft,Distal,Taphonomy,Photographed,Bird to confirm ID,Additional analysis,Quality of heat/fire exposure,# Charred,# Heat exposed,Carnivore,Rodent,Worked,Butchery,Weathering,Other,Calcined,Measurements,Location of measurement,Portion,Comments,R_El/R_info/Portion/Comments
232,2016,0.2115,216,17,J20 ,,AGMR,5_VIII_13,Reptile,Testudine,Trachemys,sp.,Slider turtle,#N/A,carapace,Costal scute,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,carapace/Costal scute//
233,2016,0.2115,216,17,J20 ,,AGMR,5_VIII_13,Bird,Anseriformes,Anatidae,,Waterfowl,#N/A,ulna,,R,1,7- whole and unbroken,,1,,,,,,,,,,,,,,,,,,,,,,,,"for size, only anatidae in Gilbert that fits in size is wood duck Aix sponsa. Could not verify with photos ","ulna///for size, only anatidae in Gilbert that fits in size is wood duck Aix sponsa. Could not verify with photos "
234,2016,0.2115,216,17,J20 ,,AGMR,5_VIII_13,Bird,Anseriformes,Anatidae,,Waterfowl,#N/A,radius,,R,0.3,?,,1,,,,,,,,,,,,,,,,,,,,,,,,"for size, along with other species, this specimen fits in size with Aix sponsa, and being from the same size, these two are likely from the same individual.  ","radius///for size, along with other species, this specimen fits in size with Aix sponsa, and being from the same size, these two are likely from the same individual.  "
235,2016,0.398,212,17,I22,,AGMR,5_VIII_13,Fossil,,Shark,Sp.,Fossil shark from cretaceous,#N/A,tooth,,,1,,,1,,,,,,,charred and perforated,179-80,,,,1,,,,1,,,,,,,,"shark tooth, fossil is black, appears to be from Cretaceous period, perforated in the root area as if for a pendant.","tooth///shark tooth, fossil is black, appears to be from Cretaceous period, perforated in the root area as if for a pendant."
236,2016,0.398,212,17,I22,,AGMR,5_VIII_13,Mammal,General,,,mammal,#N/A,shaft,,,0,,,1,,,,,,,needle,,,,,,,,,1,,,,,,,,shaft fragment of a needle,shaft///shaft fragment of a needle
237,2016,0.027,221,17,G22,,AGMR,6_VIII_13,Mammal,General,,,mammal,#N/A,shaft,,,0,,,1,,,,,,,needle,,,,,,,,,1,,,,,,,,"shaft fragment of needle, point not visible but other end is broken at the eye of the needle. Well polished","shaft///shaft fragment of needle, point not visible but other end is broken at the eye of the needle. Well polished"
238,2016,0.003,218,17,H22,,AGMR,6_VIII_13,Mammal,General,,,mammal,#N/A,unknown,,,0,8- pieces grouped together ,,5,,,,,,,,,,,,,,,,,,,,,,,,,unknown///
239,2016,0.027,221,17,G22,,AGMR,6_VIII_13,Bird,General,medium-large,,medium-large bird,#N/A,furcula,,,0.5,Anterior,,1,,,,,,,,,,,,,,,,,,,,,,,anterior,,furcula//anterior/
240,2016,0.027,221,17,G22,,AGMR,6_VIII_13,Mammal,Carnivora,Canis,familiaris ,Dog,#N/A,rib,,,0.3,3-Proximal and shaft,,1,,,,,,,,,,,,,,,,,,,,,,,head,,rib//head/
241,2016,0.027,221,17,G22,,AGMR,6_VIII_13,Mammal,Artiodactyla,Artiodactyla,,Artiodactyl,#N/A,rib,,,0,5-Shaft only,,1,,,,,,,,,,,,,,,,,,,,,,,shaft,,rib//shaft/
242,2016,0.027,221,17,G22,,AGMR,6_VIII_13,Mammal,General,,,mammal,#N/A,unknown,,,0,8- pieces grouped together ,,5,,,,,,,,,,,,,,,,,,,,,,,,,unknown///
243,2016,0.027,221,17,G22,,AGMR,6_VIII_13,Unknown,NID,,,NID,#N/A,unknown,,,0,8- pieces grouped together ,,2,,,,,,,,,,,,,,,,,,,,,,,,,unknown///
244,2016,0.0402,215,17,H21,,AGMR,5_VIII_13,Mammal,General,,,mammal,#N/A,unknown,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,unknown///
245,2016,0.0588,213,17,H20,,MRD,5_VIII_13,Mammal,Artiodactyla,Artiodactyla,,Artiodactyl,#N/A,scapula,,,0,5-Shaft only,,1,,,No,,,,see notes,,,,,,,,,1,,,,,,,margin and partial blade,possibly charred or coloured by some growth,scapula//margin and partial blade/possibly charred or coloured by some growth
246,2016,0.0588,213,17,H20,,MRD,5_VIII_13,Mammal,General,,,mammal,#N/A,unknown,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,unknown///
247,2016,0.262,201,17,H19N,,MRD,2_VIII_13,Mammal,Human,,,Human,#N/A,,,,0,,,1,,,,,,,see notes,,,,,,,,,,1,,,,,,,,///
248,2016,0.262,201,17,H19N,,MRD,2_VIII_13,Mammal,General,,,mammal,#N/A,unknown,,,0,8- pieces grouped together ,,4,,,,,,,see notes,,,,,,,1,,,,,1,,,,,"1 carnivore chewed, 1 with dark concretions superficially making it look burnt. ","unknown///1 carnivore chewed, 1 with dark concretions superficially making it look burnt. "
249,2016,0.262,201,17,H19N,,MRD,2_VIII_13,Unknown,NID,,,NID,#N/A,unknown,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,"looks superficially a weird lumpy fsh spine, not mammal. ","unknown///looks superficially a weird lumpy fsh spine, not mammal. "
250,2016,0.27,374,18,M21,,DHS,28_V_14,Mammal,Human,,,Human,#N/A,,,,0,8- pieces grouped together ,,30,,,,,,,,,,,,,,,,,,,,,,,,"appears to be all human, many fragments, only identifyiable are human. NISP is min","///appears to be all human, many fragments, only identifyiable are human. NISP is min"
251,2016,0.2968,368,18,K21,EL 17,LH,27_V_14,Mammal,Artiodactyla,Odocoileus,virginianus,White-tailed deer,#N/A,mandible,,R,0.3,5-Shaft only,,1,,,,,,,,,,,,,,,,,,,,,,,socket for M3 and part of M2,EL17,mandible//socket for M3 and part of M2/EL17
252,2016,0.2968,368,18,K21,EL 17,LH,27_V_14,Mammal,Human,,,Human,#N/A,,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,EL17,///EL17
253,2016,0.2968,368,18,K21,EL 17,LH,27_V_14,Mammal,General,,,mammal,#N/A,unknown,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,EL17,unknown///EL17
254,2016,0.001,384,18,N23,EL 20,DHS,29_V_14,Mammal,Artiodactyla,Odocoileus,virginianus,White-tailed deer,#N/A,patella,,R,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,EL20,patella///EL20
255,2016,0.001,384,18,N23,EL 20,DHS,29_V_14,Mammal,General,,,mammal,#N/A,unknown,,,0,8- pieces grouped together ,,3,,,,,,,,,,,,,,,,,,,,,,,,EL20,unknown///EL20
256,2016,0.001,384,18,N23,EL 20,DHS,29_V_14,Mammal,Human,,,Human,#N/A,,,,0,8- pieces grouped together ,,15,,,,,,,,,,,,,,,,,,,,,,,,"A number of unidentifiable fragments, among others, that are more likely human than other mamma","///A number of unidentifiable fragments, among others, that are more likely human than other mamma"
257,2016,0.534,363,18,K21,EL 17,LH,27_V_14,Fish,Marine fish,Carangidae,cf. Caranx sp. ,Jack fish,cf. Caranx sp. ,Caudal,,,0.7,,,1,,,,,,,,177-8,,,,,,,,,,,,,,,body and dorsal,"EL 17; del mar, likely Caranx sp. which is found at Teo.","Caudal//body and dorsal/EL 17; del mar, likely Caranx sp. which is found at Teo."
258,2016,0.534,363,18,K21,EL 17,LH,27_V_14,Mammal,Human,,,Human,#N/A,,,,0,8- pieces grouped together ,,3,,,,,,,,,,,,,,,,,,,,,,,,EL17,///EL17
259,2016,0.534,363,18,K21,EL 17,LH,27_V_14,Mammal,General,,,mammal,#N/A,unknown,,,0,8- pieces grouped together ,,3,,,,,,,one heat exposed,,,,,,1,,,,,,,,,,,EL17,unknown///EL17
260,2016,0.76,369,18,L23,,LH,27_V_14,Mammal,General,,,mammal,#N/A,unknown,,,0,8- pieces grouped together ,,6,,,,,,,,,,,,,,,,,,,,,,,,,unknown///
261,2016,0.001,367,18,L20,EL 18,LH,27_V_14,Mammal,Artiodactyla,Odocoileus,virginianus,White-tailed deer,#N/A,antler,,,0,,,1,,,,,,,worked antler,,,,,,,,,1,,,,,,,,"Six fragments of antler, one seems to be abraded smooth across a small portion","antler///Six fragments of antler, one seems to be abraded smooth across a small portion"
262,2016,0.001,367,18,L20,EL 18,LH,27_V_14,Mammal,General,,,mammal,#N/A,unknown,,,0,8- pieces grouped together ,,6,,,,,,,,,,,,,,,,,,,,,,,,EL18,unknown///EL18
263,2016,0.001,330,18,N22,EL 15,DHS,22_V_14,Bird,Other bird,Columbidae,sp.,Pigeon,#N/A,ulna,,R,0.8,3-Proximal and shaft,,1,,,,,,,,,,,,,,,,,,,,,,,proximal,EL15,ulna//proximal/EL15
264,2016,0.001,330,18,N22,EL 15,DHS,22_V_14,Mammal,Human,,,Human,#N/A,,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,///
265,2016,0.001,330,18,N22,EL 15,DHS,22_V_14,Bird,Other bird,Columbidae,sp.,Pigeon,#N/A,humerus,,R,0.8,3-Proximal and shaft,,1,,,,,,,,,,,,,,,,,,,,,,,proximal,EL15,humerus//proximal/EL15
266,2016,0.001,330,18,N22,EL 15,DHS,22_V_14,Fish,Marine fish,Marine fish,,Marine fish,#N/A,Other,Urostyle,,0.5,,,1,,,,,,,,174,,,,,,,,,,,,,,,fin part,"Part of urostyle of a fish that is larger than one that would be found in fresh water, EL15","Other/Urostyle/fin part/Part of urostyle of a fish that is larger than one that would be found in fresh water, EL15"
267,2016,0.2968,368,18,K21,EL 17,LH,28_V_14,Mammal,General,,,mammal,#N/A,unknown,,,0,8- pieces grouped together ,,2,,,,,,,,,,,,,,,,,,,,,,,,EL17,unknown///EL17
268,2016,0.001,330,18,N22,EL 15,DHS,24_V_14,Mammal,Artiodactyla,Odocoileus,virginianus,White-tailed deer,#N/A,Pelvis Acetabulum,,R,0,,,1,,,,,,,,,,,,,,,,,,,,,,,partial ischium and acetabulum,EL15,Pelvis Acetabulum//partial ischium and acetabulum/EL15
269,2016,0.001,330,18,N22,EL 15,DHS,24_V_14,Mammal,Artiodactyla,Odocoileus,virginianus,White-tailed deer,#N/A,frag,,R,0,,,1,,,,,,,,,,,,,,,,,,,,,,,fragment of crest just above supraorbital fossa,EL15,frag//fragment of crest just above supraorbital fossa/EL15
270,2016,0.001,330,18,N22,EL 15,DHS,24_V_14,Mammal,Rodentia,Cricetidae,,Rat/Mouse,#N/A,humerus,,L,0.9,3-Proximal and shaft,,1,,,N,,,,,,,,,,,,,,,,,,,,missing distal condyles,EL15,humerus//missing distal condyles/EL15
271,2016,0.001,330,18,N22,EL 15,DHS,24_V_14,Mammal,General,,,mammal,#N/A,unknown,,,0,8- pieces grouped together ,,9,,,,,,,,,,,,,,,,,,,,,,,,EL15,unknown///EL15
272,2016,0.001,498,18,J24,,,,Fish,Marine fish,Lutjanus ,sp.,Snapper,#N/A,cranial,Opercular,L,0.7,,,1,,,,,,,cocido/heat exposed,Photo,,,,,1,,,,,,,,,,Articulation ,"EL25, Fauna with Ent #3","cranial/Opercular/Articulation /EL25, Fauna with Ent #3"
273,2016,0.001,498,18,J24,,,,Mammal,Carnivora,Canis,familiaris ,Dog,#N/A,metacarpal,II,L,1,7- whole and unbroken,,1,,,Y,,,,,,,"Heat exposed, likely indirect (boiling). Length 43.46 prox. 6.63x9.44, distal7x6.58",,,,,,,,,,,,,,EL25,metacarpal/II//EL25
274,2016,0.001,498,18,J24,,,,Mammal,Carnivora,Canis,familiaris ,Dog,#N/A,rib,,L,1,7- whole and unbroken,,1,,,N,,,,,,,,,,,,,,,,,,,,,"EL25, young","rib///EL25, young"
275,2016,0.001,498,18,J24,,,,Mammal,Artiodactyla,Odocoileus,virginianus,White-tailed deer,#N/A,antler,,,0,8- pieces grouped together ,,3,,,,,,,,,,,,,,,,,,,,,,,shaft,"EL25, two pieces fit together, recent fracture. While it superficially appears to have a modified shape, it could also be abrasion of an ancient break. ","antler//shaft/EL25, two pieces fit together, recent fracture. While it superficially appears to have a modified shape, it could also be abrasion of an ancient break. "
276,2016,0.001,498,18,J24,,,,Mammal,General,,,mammal,#N/A,unknown,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,EL25,unknown///EL25
277,2016,1.04,441,SOTD,P51,,GMB,6_VI_14,Mammal,Artiodactyla,Odocoileus,virginianus,White-tailed deer,#N/A,Calcaneous,,L,0.9,,,1,,,Y,,,,,,,,,,,,,,,,,,,,,"MNE=1, three refitting pieces, freshly broken","Calcaneous///MNE=1, three refitting pieces, freshly broken"
278,2016,1.04,441,SOTD,P51,,GMB,6_VI_14,Mammal,Leporidae,Lepus,sp.,Hare,#N/A,humerus,,R,0.7,3-Proximal and shaft,,1,,,N,,,,,,,,,,,,,,,,,,,,proximal,missing proximal epiphyses,humerus//proximal/missing proximal epiphyses
279,2016,1.04,441,SOTD,P51,,GMB,6_VI_14,Mammal,Leporidae,Sylvilagus,floridanus,Eastern cottontail,#N/A,metatarsal,II,L,1,7- whole and unbroken,,1,,,Y,,,,,,,,,,,,,,,,,,,,,,metatarsal/II//
280,2016,1.04,441,SOTD,P51,,GMB,6_VI_14,Mammal,General,medium,,medium mammal,#N/A,rib,,,0,8- pieces grouped together ,,3,,,,,,,,,,,,,,,,,,,,,,,,,rib///
281,2016,1.04,441,SOTD,P51,,GMB,6_VI_14,Mammal,General,,,mammal,#N/A,unknown,,,0,8- pieces grouped together ,,15,,,,,,,,,,,,,,,,,,,,,,,,"fairly large chunks, most +2cm","unknown///fairly large chunks, most +2cm"
282,2016,1.04,441,SOTD,P51,,GMB,6_VI_14,Mammal,Human,,,Human,#N/A,,,,0,8- pieces grouped together ,,3,,,,,,,,,,,,,,,,,,,,,,,,,///
283,2016,0.36,492,18,K24,,DHS,13_VI_14,Mammal,General,medium-large,,medium-large mammal,#N/A,rib,,,0,5-Shaft only,,3,,,,,,,see notes,,,,,,,,,1,,,,,,,shaft fragemnt,one likely intentionally cut/broken ,rib//shaft fragemnt/one likely intentionally cut/broken 
284,2016,0.36,492,18,K24,,DHS,13_VI_14,Mammal,General,medium-large,,medium-large mammal,#N/A,rib,,,0,5-Shaft only,,2,,,,,,,Heated + worked,PHOTO,,,,,2,,,2,,,,,,,shaft fragemnt,both fragment appear to have been burnt/scored and then broken along the line. One has a visible burning/score line unbroken,rib//shaft fragemnt/both fragment appear to have been burnt/scored and then broken along the line. One has a visible burning/score line unbroken
285,2016,0.36,492,18,K24,,DHS,13_VI_14,Mammal,General,,,mammal,#N/A,unknown,,,0,8- pieces grouped together ,,6,,,,,,,heated + one cut,,,,,,6,,,,1,,,,,,,"dark brown suggests heating of bone (exposure to fire), one has a small patch of cutmarks","unknown///dark brown suggests heating of bone (exposure to fire), one has a small patch of cutmarks"
286,2016,0.36,492,18,K24,,DHS,13_VI_14,Mammal,General,,,mammal,#N/A,unknown,,,0,8- pieces grouped together ,,4,,,,,,,calcined,,,,,,,,,,,,,1,,,,1 partially calcined,unknown///1 partially calcined
287,2016,0.36,492,18,K24,,DHS,13_VI_14,Mammal,General,,,mammal,#N/A,unknown,,,0,8- pieces grouped together ,,4,,,,,,,,,,,,,,,,,,,,,,,,,unknown///
288,2016,0.36,492,18,K24,,DHS,13_VI_14,Bird,Galliformes,Meleagris,gallopavo,Guajolote,#N/A,femur,,R,0,2-Distal epiphysis,,1,,,"""y""",,,,charred,,,,,1,,,,,,,,,,,internal condoyle,"fully grown, regular size, completely charred","femur//internal condoyle/fully grown, regular size, completely charred"
289,2016,0.36,492,18,K24,,DHS,13_VI_14,Bird,Galliformes,Meleagris,gallopavo,Guajolote,#N/A,femur,,R,0,5-Shaft only,,1,,,see notes,,,,,,,,,,,,,,,,,,,,posterior shaft,"three fragments of the posterior shaft of a small sized femur, two fit togther, the other contains the posterior nutrient foramina. Robustness of linea suggest adult or near adult. Some parts overlap with internal condyle and must be at least two individuals. ","femur//posterior shaft/three fragments of the posterior shaft of a small sized femur, two fit togther, the other contains the posterior nutrient foramina. Robustness of linea suggest adult or near adult. Some parts overlap with internal condyle and must be at least two individuals. "
290,2016,0.36,492,18,K24,,DHS,13_VI_14,Bird,Galliformes,Meleagris,gallopavo,Guajolote,#N/A,tarsometatarsus,,R,0.3,3-Proximal and shaft,,1,,,,,,,,,,,,,,,,,,,,,,,proximal,,tarsometatarsus//proximal/
291,2016,0.36,492,18,K24,,DHS,13_VI_14,Bird,Galliformes,Meleagris,gallopavo,Guajolote,#N/A,rib,,,0.8,3-Proximal and shaft,,1,,,,,,,,,,,,,,,,,,,,,,,,adult size,rib///adult size
292,2016,0.36,492,18,K24,,DHS,13_VI_14,Bird,Galliformes,Meleagris,gallopavo,Guajolote,#N/A,fibula,,R,0.3,3-Proximal and shaft,,1,,,see notes,,,,,,,,,,,,,,,,,,,,proximal,"very small, smaller than guajolote chick of about 2 months old","fibula//proximal/very small, smaller than guajolote chick of about 2 months old"
293,2016,0.36,492,18,K24,,DHS,13_VI_14,Bird,Galliformes,Meleagris,gallopavo,Guajolote,#N/A,radius,,L,1,5-Shaft only,,1,,,N,,,,,,,,,,,,,,,,,,,,,"very small, shape matched guajolote, appearance of a very young bird, smaller than specimen of about 2 months. Whole, missing epiphyses","radius///very small, shape matched guajolote, appearance of a very young bird, smaller than specimen of about 2 months. Whole, missing epiphyses"
294,2016,0.24,442,SOTD,P51,,GMB,7_VI_14,Mammal,Artiodactyla,Odocoileus,virginianus,White-tailed deer,#N/A,femur,,L,0.1,1-Proximal epiphysis,,1,,,Y,,,,sawn edge and horitonal butchery/scrape marks marks on anterior proximal shaft. ,PHOTO,,,,,,,,1,1,,,,,,proximal,"missing part of greater trochanter, sawn extent not known as shaft is freshly ony leaving it partially visible on the anterior medial parrt of shaft edge. Head width22.94","femur//proximal/missing part of greater trochanter, sawn extent not known as shaft is freshly ony leaving it partially visible on the anterior medial parrt of shaft edge. Head width22.94"
295,2016,0.24,442,SOTD,P51,,GMB,7_VI_14,Mammal,Leporidae,Sylvilagus,cunicularius,Mexican cottontail,#N/A,ulna,,R,0.5,3-Proximal and shaft,,1,,,Y,,,,,,,,,,,,,,,,,,,,Medial shaft and partial proximal articulation,,ulna//Medial shaft and partial proximal articulation/
296,2016,0.24,442,SOTD,P51,,GMB,7_VI_14,Mammal,Leporidae,Sylvilagus,audobonii,Desert cottontail,#N/A,radius,,L,0.8,4-Distal and shaft,,1,,,,,,,,,,,,,,,,,,,,,,,4-Distal and shaft,,radius//4-Distal and shaft/
297,2016,0.24,442,SOTD,P51,,GMB,7_VI_14,Mammal,Carnivora,Canis,familiaris ,Dog,#N/A,mandible,,R,0.4,5-Shaft only,,1,,,,,,,,,,,,,,,,,,,,,,,"sockets for P4, M1 and half of M2",Sockets for adult dentition,"mandible//sockets for P4, M1 and half of M2/Sockets for adult dentition"
298,2016,0.24,442,SOTD,P51,,GMB,7_VI_14,Mammal,Carnivora,Canis,familiaris ,Dog,#N/A,cranial,Premaxilla,L,0.8,,,1,,,M,,,,,,,,,,,,,,,,,,,,,"crowns in formation for I3 and I2, 3-4 months old","cranial/Premaxilla//crowns in formation for I3 and I2, 3-4 months old"
299,2016,0.24,442,SOTD,P51,,GMB,7_VI_14,Reptile,Testudine,,,Turtle,#N/A,plastron,Hyoplastron,L,0,,,1,,,,,,,,,,,,,,,,,,,,,,,hyoplastron,two adjoining fragments,plastron/Hyoplastron/hyoplastron/two adjoining fragments
300,2016,0.24,442,SOTD,P51,,GMB,7_VI_14,Mammal,General,,,mammal,#N/A,unknown,,,0,8- pieces grouped together ,,26,,,,,,,See notes,,,,,,,,,,,,26,,,,,many moderately weathered fragments,unknown///many moderately weathered fragments
301,2016,0.24,442,SOTD,P51,,GMB,7_VI_14,Mammal,Human,,,Human,#N/A,,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,///
302,2016,0.22,490,18,M24,,DHS,13_VI_14,Mammal,Human,,,Human,#N/A,,,,0,8- pieces grouped together ,,4,,,,,,,,,,,,,,,,,,,,,,,,four large fragments human only,///four large fragments human only
303,2016,0.25,496,18,L25,,DHS,14_VI_14,Mammal,Carnivora,Canis,familiaris ,Dog,#N/A,Tth Up,M1,L,1,,,1,,,,,,,,,,M1(alt x anch x a.p.): 8.72 x 14.52 x 11.8; falls within range of dogs,,,,,,,,,,,,,,not very worn,Tth Up/M1//not very worn
304,2016,0.25,496,18,L25,,DHS,14_VI_14,Bird,Galliformes,Odontophoridae,cf. Dendrortyx macroura,cf. Long tailed wood patridge,cf. Dendrortyx macroura,scapula,,R,0.9,3-Proximal and shaft,,1,,,Y,,,,,233-4,CHECK,,,,,,,,,,,,,,proximal,"very similar to colinus virginus but substantially larger. Incomplete length 59.9 cf bobwhite length ca. 21mm. Probably dendrortyx macroura, largest quail in americas.","scapula//proximal/very similar to colinus virginus but substantially larger. Incomplete length 59.9 cf bobwhite length ca. 21mm. Probably dendrortyx macroura, largest quail in americas."
305,2016,0.25,496,18,L25,,DHS,14_VI_14,Bird,Galliformes,Meleagris,gallopavo,Guajolote,#N/A,Ph1,"Posterior, I",L,1,7- whole and unbroken,,1,,,,,,,cut marks,,,,,,,,,,,,,,,,,horizontal cutmarks across anterior surface,"Ph1/Posterior, I//horizontal cutmarks across anterior surface"
306,2016,0.25,496,18,L25,,DHS,14_VI_14,Mammal,General,,,mammal,#N/A,unknown,,,0,8- pieces grouped together ,,5,,,,,,,see note,,,,,,1,,,,,,,,,,,one part of longbone partially exposed to heat,unknown///one part of longbone partially exposed to heat
307,2016,0.2504,419,18,J21,EL 17,LH,3_VI_14,Mammal,Artiodactyla,Odocoileus,virginianus,White-tailed deer,#N/A,vertebra,,,0.9,,,1,,,N,,,,,,,,,,,,,,,,,,,,,"EL 17, MNE=1, two refitting parts","vertebra///EL 17, MNE=1, two refitting parts"
308,2016,0.2504,419,18,J21,EL 17,LH,3_VI_14,Mammal,Rodentia,Cratogeomys,fumosus thylorhinus,Smokey pocket gopher,#N/A,radius,,,1,7- whole and unbroken,,1,,,Y,,,,,,,,,,,,,,,,,,,,,"EL 17, MNE=1","radius///EL 17, MNE=1"
309,2016,0.2504,419,18,J21,EL 17,LH,3_VI_14,Mammal,General,small,,small mammal,#N/A,Thoracic,,,0.9,,,1,,,Y,,,,,,,,,,,,,,,,,,,,,"EL 17, not leporidae","Thoracic///EL 17, not leporidae"
310,2016,0.2504,419,18,J21,EL 17,LH,3_VI_14,Mammal,Human,,,Human,#N/A,,,,0,8- pieces grouped together ,,8,,,,,,,,,,,,,,,,,,,,,,,,EL 17,///EL 17
311,2016,0.2504,419,18,J21,EL 17,LH,3_VI_14,Mammal,General,,,mammal,#N/A,unknown,,,0,8- pieces grouped together ,,3,,,,,,,,,,,,,,,,,,,,,,,,EL 17,unknown///EL 17
312,2016,0.2504,419,18,J21,EL 17,LH,3_VI_14,Bird,Galliformes,Colinus,virginianus,Northern bobwhite,#N/A,coracoid,,L,0.5,4-Distal and shaft,,1,,,,,,,,,,,,,,,,,,,,,,,4-Distal and shaft,EL 17,coracoid//4-Distal and shaft/EL 17
313,2016,0.48,449,SOTD,P50,,GMB,9_VI_14,Mammal,General,,,mammal,#N/A,unknown,,,0,8- pieces grouped together ,,12,,,,,,,,,,,,,,,,,,,,,,,,2 pieces may be antler but cant be sure,unknown///2 pieces may be antler but cant be sure
314,2016,0.09,499,18,L24,,DHS,14_VI_14,Bird,Galliformes,Meleagris,gallopavo,Guajolote,#N/A,radius,,L,0.2,3-Proximal and shaft,,1,,,,,,,charred,,,,,1,,,,,,,,,,,proximal,,radius//proximal/
315,2016,0.09,499,18,L24,,DHS,14_VI_14,Bird,General,large,,large bird,#N/A,tibiotarsus,,,0,5-Shaft only,,1,,,,,,,calcined,,,,,,,,,,,,,1,,,shaft and distal fibula crest,,tibiotarsus//shaft and distal fibula crest/
316,2016,0.09,499,18,L24,,DHS,14_VI_14,Bird,General,,,Bird,#N/A,other,Ossified tendon,,0,,,1,,,,,,,Possibly heat exposed,,,,,,,,,,,,,,,,thinner portion,likely guajolote due to size,other/Ossified tendon/thinner portion/likely guajolote due to size
317,2016,0.09,499,18,L24,,DHS,14_VI_14,Bird,General,,,Bird,#N/A,unknown,,,0,,,1,,,,,,,charred,,,,,1,,,,1,,,,,,,shaft,,unknown//shaft/
318,2016,0.09,499,18,L24,,DHS,14_VI_14,Mammal,General,,,mammal,#N/A,unknown,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,unknown///
319,2016,0.53,412,18,M23,,LH,2_VI_14,Mammal,General,,,mammal,#N/A,unknown,,,0,8- pieces grouped together ,,8,,,,,,,,,,,,,,,,,,,,,,,,,unknown///
320,2016,0.88,451,SOTD,P50,,GMB,9_VI_14,Mammal,General,medium,,medium mammal,#N/A,rib,,,0,5-Shaft only,,1,,,,,,,,,,,,,,,,,,,,,,,shaft,fit together,rib//shaft/fit together
321,2016,0.88,451,SOTD,P50,,GMB,9_VI_14,Mammal,Carnivora,Canis,familiaris ,Dog,#N/A,Ph1,III OR IV,,1,7- whole and unbroken,,1,,,,,,,,,,Length 21.64; Prox (wxh) 6.83x5.63; Distal (wxh) 5.76x4.17,,,,,,,,,,,,,,,Ph1/III OR IV//
322,2016,0.88,451,SOTD,P50,,GMB,9_VI_14,Mammal,General,medium-large,,medium-large mammal,#N/A,unknown,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,looks most similar to a part of pelvis of perro but not quite right.,unknown///looks most similar to a part of pelvis of perro but not quite right.
323,2016,0.88,451,SOTD,P50,,GMB,9_VI_14,Mammal,General,,,mammal,#N/A,Tool,Needle,,0,5-Shaft only,,1,,,,,,,needle,,,,,,,,,1,,,,,,,shaft,"shaft of needle, no point or eye present, one end round, the other is flattened","Tool/Needle/shaft/shaft of needle, no point or eye present, one end round, the other is flattened"
324,2016,0.88,451,SOTD,P50,,GMB,9_VI_14,Mammal,General,,,mammal,#N/A,unknown,,,0,8- pieces grouped together ,,5,,,,,,,,,,,,,,,,,,,,,,,,,unknown///
325,2016,0.88,451,SOTD,P50,,GMB,9_VI_14,Bird,General,large,,large bird,#N/A,humerus,,L,0.7,5-Shaft only,,1,,,,,,,,,,,,,,,,,,,,,,,shaft,,humerus//shaft/
326,2016,0.1696,420,18,J21,,LH,3_VI_14,Mammal,Human,,,Human,#N/A,,,,0,8- pieces grouped together ,,2,,,,,,,,,,,,,,,,,,,,,,,,appears to be two fragments of human neonate,///appears to be two fragments of human neonate
327,2016,0.001,497,18,M25,,DHS,14_VI_14,Bird,Galliformes,Colinus,virginianus,Northern bobwhite,#N/A,tarsometatarsus,,R,1,7- whole and unbroken,,1,,,,,,,heat exposure?,,,,,,,,,,,,,,,,,possibly exposed to heat,tarsometatarsus///possibly exposed to heat
328,2016,0.001,497,18,M25,,DHS,14_VI_14,Mammal,Leporidae,Lepus,sp.,Hare,#N/A,Ilium,,L,0.1,,,1,,,N,,,,,,,,,,,,,,,,,,,,tip of illium,joven,Ilium//tip of illium/joven
329,2016,0.001,497,18,M25,,DHS,14_VI_14,Mammal,General,,,mammal,#N/A,unknown,,,0,8- pieces grouped together ,,4,,,,,,,2 heat exposre,,,,,,2,,,,,,,,,,,,unknown///
330,2016,0.48,588,18,I20,,GMB,26_VI_14,Mammal,Leporidae,Lepus,sp.,Hare,#N/A,scapula,,R,0.3,4-Distal and shaft,,2,,,Y,,,,,,,,,,,,,,,,,,,,head/neck (distal) and a fragment of dorsal border,two non refitting fragments of hare scapula,scapula//head/neck (distal) and a fragment of dorsal border/two non refitting fragments of hare scapula
331,2016,0.48,588,18,I20,,GMB,26_VI_14,Mammal,Leporidae,Leporidae,,Rabbit/hare,#N/A,rib,,,1,7- whole and unbroken,,1,,,,,,,heat exposure?,,,,,,,,,,,,,,,,,one of the last ribs,rib///one of the last ribs
